"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"62","wait_border",NA,"two_days","NA",0.0555555555555556,NA,0.0156177490024371,0.095493362108674,NA,NA
"119","wait_reception",NA,"2_4_hours","NA",0.0333333333333333,NA,0.00203580813954976,0.0646308585271169,NA,NA
"213","wait_reception",NA,"4_8_hours","NA",0.0333333333333333,NA,0.00203580813954976,0.0646308585271169,NA,NA
"36","wait_reception",NA,"8_24_hours","NA",0.833333333333333,NA,0.768355383384527,0.89831128328214,NA,NA
"46","wait_reception",NA,"less_2_hours","NA",0.0444444444444444,NA,0.00851347248783382,0.0803754164010551,NA,NA
"54","wait_reception",NA,"two_days","NA",0.0555555555555556,NA,0.0156177490024371,0.095493362108674,NA,NA
"120","duration_rc",NA,"2_4_hours","NA",0.166666666666667,NA,0.10168871671786,0.231644616615473,NA,NA
"214","duration_rc",NA,"4_8_hours","NA",0.0555555555555556,NA,0.0156177490024371,0.095493362108674,NA,NA
"37","duration_rc",NA,"8_24_hours","NA",0.322222222222222,NA,0.240741726888413,0.403702717556032,NA,NA
"47","duration_rc",NA,"less_2_hours","NA",0.433333333333333,NA,0.346934647719235,0.519732018947431,NA,NA
"55","duration_rc",NA,"two_days","NA",0.0222222222222222,NA,-0.00347854439670681,0.0479229888411512,NA,NA
"121","decision_timing",NA,"1_12","NA",0.0888888888888889,NA,0.0392706136661932,0.138507164111585,NA,NA
"215","decision_timing",NA,"13_18","NA",0.0333333333333333,NA,0.00203580813954977,0.0646308585271169,NA,NA
"38","decision_timing",NA,"19_24","NA",0.1,NA,0.0476937592753199,0.15230624072468,NA,NA
"48","decision_timing",NA,"6_less","NA",0.344444444444444,NA,0.261593665336748,0.427295223552141,NA,NA
"56","decision_timing",NA,"more_two_days","NA",0.222222222222222,NA,0.149736284451157,0.294708159993287,NA,NA
"63","decision_timing",NA,"one_two_days","NA",0.211111111111111,NA,0.139957701020816,0.282264521201406,NA,NA
"122","direction_choice",NA,"closest","NA",0.0111111111111111,NA,-0.00716504029946074,0.0293872625216829,NA,NA
"216","direction_choice",NA,"direction_af","NA",0.0111111111111111,NA,-0.0071650402994608,0.029387262521683,NA,NA
"39","direction_choice",NA,"direction_family","NA",0.0777777777777778,NA,0.0310819788506951,0.12447357670486,NA,NA
"49","direction_choice",NA,"direction_suggested_friends","NA",0.133333333333333,NA,0.0740643239693723,0.192602342697294,NA,NA
"57","direction_choice",NA,"preferred_dest","NA",0.0222222222222222,NA,-0.0034785443967068,0.0479229888411512,NA,NA
"64","direction_choice",NA,"safest_routes","NA",0.744444444444444,NA,0.668395872465823,0.820493016423066,NA,NA
"dependent.var17","direction_choice_other",NA,NA,"NA",NA,NA,NA,NA,NA,NA
"123","stop_points",NA,"no","NA",0.644444444444444,NA,0.560984377261022,0.727904511627867,NA,NA
