"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","p.value"
"7","subdistrict_origin",NA,"jandairis","NA","1% (-1%-3%)",NA,-0.00716504029946074,0.029387262521683,NA,NA,NA
"8","subdistrict_origin",NA,"qahtaniyyeh","NA","4% (1%-8%)",NA,0.00851347248783382,0.0803754164010551,NA,NA,NA
"9","subdistrict_origin",NA,"quamishli","NA","36% (27%-44%)",NA,0.272095488372133,0.439015622738978,NA,NA,NA
"10","subdistrict_origin",NA,"ras_al_ain","NA","26% (18%-33%)",NA,0.179506983576934,0.331604127534177,NA,NA,NA
"11","subdistrict_origin",NA,"tal_tamer","NA","2% (0%-5%)",NA,-0.00347854439670681,0.0479229888411512,NA,NA,NA
"dependent.var16","subdistrict_or_other",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
"117","origin_from_location",NA,"no","NA","67% (58%-75%)",NA,0.584475338856006,0.748857994477327,NA,NA,NA
"211","origin_from_location",NA,"yes","NA","33% (25%-42%)",NA,0.251142005522673,0.415524661143994,NA,NA,NA
"118","wait_border",NA,"2_4_hours","NA","21% (14%-28%)",NA,0.139957701020816,0.282264521201406,NA,NA,NA
"212","wait_border",NA,"4_8_hours","NA","23% (16%-31%)",NA,0.159589800968387,0.30707686569828,NA,NA,NA
"35","wait_border",NA,"8_24_hours","NA","29% (21%-37%)",NA,0.209863543070274,0.367914234707504,NA,NA,NA
"45","wait_border",NA,"less_2_hours","NA","16% (9%-22%)",NA,0.0923637800411857,0.218747331069925,NA,NA,NA
"53","wait_border",NA,"three_days","NA","6% (2%-10%)",NA,0.0156177490024371,0.095493362108674,NA,NA,NA
"62","wait_border",NA,"two_days","NA","6% (2%-10%)",NA,0.0156177490024371,0.095493362108674,NA,NA,NA
"119","wait_reception",NA,"2_4_hours","NA","3% (0%-6%)",NA,0.00203580813954976,0.0646308585271169,NA,NA,NA
"213","wait_reception",NA,"4_8_hours","NA","3% (0%-6%)",NA,0.00203580813954976,0.0646308585271169,NA,NA,NA
"36","wait_reception",NA,"8_24_hours","NA","83% (77%-90%)",NA,0.768355383384527,0.89831128328214,NA,NA,NA
"46","wait_reception",NA,"less_2_hours","NA","4% (1%-8%)",NA,0.00851347248783382,0.0803754164010551,NA,NA,NA
"54","wait_reception",NA,"two_days","NA","6% (2%-10%)",NA,0.0156177490024371,0.095493362108674,NA,NA,NA
"120","duration_rc",NA,"2_4_hours","NA","17% (10%-23%)",NA,0.10168871671786,0.231644616615473,NA,NA,NA
"214","duration_rc",NA,"4_8_hours","NA","6% (2%-10%)",NA,0.0156177490024371,0.095493362108674,NA,NA,NA
"37","duration_rc",NA,"8_24_hours","NA","32% (24%-40%)",NA,0.240741726888413,0.403702717556032,NA,NA,NA
"47","duration_rc",NA,"less_2_hours","NA","43% (35%-52%)",NA,0.346934647719235,0.519732018947431,NA,NA,NA
"55","duration_rc",NA,"two_days","NA","2% (0%-5%)",NA,-0.00347854439670681,0.0479229888411512,NA,NA,NA
"121","decision_timing",NA,"1_12","NA","9% (4%-14%)",NA,0.0392706136661932,0.138507164111585,NA,NA,NA
"215","decision_timing",NA,"13_18","NA","3% (0%-6%)",NA,0.00203580813954977,0.0646308585271169,NA,NA,NA
"38","decision_timing",NA,"19_24","NA","10% (5%-15%)",NA,0.0476937592753199,0.15230624072468,NA,NA,NA
"48","decision_timing",NA,"6_less","NA","34% (26%-43%)",NA,0.261593665336748,0.427295223552141,NA,NA,NA
"56","decision_timing",NA,"more_two_days","NA","22% (15%-29%)",NA,0.149736284451157,0.294708159993287,NA,NA,NA
"63","decision_timing",NA,"one_two_days","NA","21% (14%-28%)",NA,0.139957701020816,0.282264521201406,NA,NA,NA
"122","direction_choice",NA,"closest","NA","1% (-1%-3%)",NA,-0.00716504029946074,0.0293872625216829,NA,NA,NA
"216","direction_choice",NA,"direction_af","NA","1% (-1%-3%)",NA,-0.0071650402994608,0.029387262521683,NA,NA,NA
"39","direction_choice",NA,"direction_family","NA","8% (3%-12%)",NA,0.0310819788506951,0.12447357670486,NA,NA,NA
"49","direction_choice",NA,"direction_suggested_friends","NA","13% (7%-19%)",NA,0.0740643239693723,0.192602342697294,NA,NA,NA
"57","direction_choice",NA,"preferred_dest","NA","2% (0%-5%)",NA,-0.0034785443967068,0.0479229888411512,NA,NA,NA
"64","direction_choice",NA,"safest_routes","NA","74% (67%-82%)",NA,0.668395872465823,0.820493016423066,NA,NA,NA
"dependent.var17","direction_choice_other",NA,NA,"NA","NA% ",NA,NA,NA,NA,NA,NA
