"","location_interview_border_rabea","location_interview_rc_Sahila","gender_ki_female","gender_ki_male","nationality_ki_syrian","nationality_other","residency_no","residency_yes","arrive_syria_yes","reason_displace_airstrikes","reason_displace_arrival_military","reason_displace_home_destroyed","reason_displace_other_home_destr","date_left_more_than_three","date_left_three_days","date_left_two_days","date_left_week","date_left_yesterday","male_0_17","female_0_17","male_18_60","female_18_60","male_60","female_60","group_size","unaccompanied_no","unaccompanied_yes","unaccompanied_number","disabled_no","disabled_yes","disabled_number","preg_lacting_no","preg_lacting_yes","pregnant_number","memb_left_no","memb_left_yes","memb_left_nr","governorate_origin_aleppo","governorate_origin_hasakah","governorate_or_other","district_origin_afrin","district_origin_ain_al_arab","district_origin_al_hasakeh","district_origin_al_malikeyyeh","district_origin_quamishli","district_origin_ras_al_ain","district_or_other","subdistrict_origin_afrin","subdistrict_origin_ain_al_arab","subdistrict_origin_al_hasakeh","subdistrict_origin_al_malikeyyeh","subdistrict_origin_amuda","subdistrict_origin_darbasiyah","subdistrict_origin_jandairis","subdistrict_origin_qahtaniyyeh","subdistrict_origin_quamishli","subdistrict_origin_ras_al_ain","subdistrict_origin_tal_tamer","subdistrict_or_other","origin_from_location_no","origin_from_location_yes","wait_border_2_4_hours","wait_border_4_8_hours","wait_border_8_24_hours","wait_border_less_2_hours","wait_border_three_days","wait_border_two_days","wait_reception_2_4_hours","wait_reception_4_8_hours","wait_reception_8_24_hours","wait_reception_less_2_hours","wait_reception_two_days","duration_rc_2_4_hours","duration_rc_4_8_hours","duration_rc_8_24_hours","duration_rc_less_2_hours","duration_rc_two_days","decision_timing_1_12","decision_timing_13_18","decision_timing_19_24","decision_timing_6_less","decision_timing_more_two_days","decision_timing_one_two_days","direction_choice_closest","direction_choice_direction_af","direction_choice_direction_family","direction_choice_direction_suggested_friends","direction_choice_preferred_dest","direction_choice_safest_routes","direction_choice_other","stop_points_no","stop_points_yes","stop_points_loc_district_ain_al_arab","stop_points_loc_district_ain_al_arab quamishli","stop_points_loc_district_al_hasakeh","stop_points_loc_district_al_hasakeh al_malikeyyeh ar_raqqa","stop_points_loc_district_al_malikeyyeh","stop_points_loc_district_al_malikeyyeh quamishli","stop_points_loc_district_ar_raqqa","stop_points_loc_district_quamishli","stop_points_loc_district_quamishli other","stop_points_location_ain_al_arab","stop_points_location_al_hasakeh","stop_points_location_al_malikeyyeh","stop_points_location_al_malikeyyeh ar_raqqa","stop_points_location_al_malikeyyeh jawadiyah quamishli","stop_points_location_al_malikeyyeh quamishli","stop_points_location_ar_raqqa","stop_points_location_jawadiyah","stop_points_location_jawadiyah ya_robiyah","stop_points_location_qahtaniyyeh","stop_points_location_qahtaniyyeh quamishli","stop_points_location_quamishli","stop_points_location_sarin","stop_points_location_tal_hmis","stop_points_location_tal_tamer","stop_points_location_ya_robiyah","transport_Bus","transport_Car","transport_Foot","transport_Minibus","transport_other","transport_truck_tractor","transport_other","difficulties","difficulties_other","item_bring","item_bring_other","members_no_id","priority_need","priority_other","intent_two_days_camp","intent_two_days_dont_know","intent_two_days_family_friends_dohuk","intent_two_days_family_friends_kri","intent_two_days_other","intent_gov_dahuk","intent_gov_erbil","intent_gov_sulaymaniyah","intent_gov_other","intent_district","intent_town","reason_intent_family_host","reason_intent_no_choice","reason_intent_no_options","reason_intent_other","relatives_kri_yes","intent_two_weeks_family_friends_dohuk","intent_two_weeks_family_friends_kri","intent_two_weeks_no_intention","intent_two_weeks_own_home","intent_two_weeks_other","intent_gov_week_dahuk","intent_gov_week_erbil","intent_gov_week_sulaymaniyah","intent_gov_week_other","intent_district_week_chamchamal","intent_district_week_dahuk","intent_district_week_erbil","intent_district_week_shaqlawa","intent_district_week_sulaymaniya","intent_district_week_sumel","intent_town_week","intent_return_no","intent_return_yes","stop_points_loc_district","stop_points_loc_district.afrin","stop_points_loc_district.ain_al_arab","stop_points_loc_district.al_bab","stop_points_loc_district.as_safira","stop_points_loc_district.a_zaz","stop_points_loc_district.jarablus","stop_points_loc_district.jebel_saman","stop_points_loc_district.menbij","stop_points_loc_district.al_hasakeh","stop_points_loc_district.al_malikeyyeh","stop_points_loc_district.quamishli","stop_points_loc_district.ras_al_ain","stop_points_loc_district.ar_raqqa","stop_points_loc_district.ath_thawrah","stop_points_loc_district.tell_abiad","stop_points_loc_district.abu_kamal","stop_points_loc_district.al_mayadin","stop_points_loc_district.deir_ez_zor","stop_points_location","stop_points_location.afrin","stop_points_location.bulbul","stop_points_location.jandairis","stop_points_location.ma_btali","stop_points_location.raju","stop_points_location.sharan","stop_points_location.sheikh_el_hadid","stop_points_location.ain_al_arab","stop_points_location.lower_shyookh","stop_points_location.sarin","stop_points_location.al_bab","stop_points_location.a_rima","stop_points_location.ar_raee","stop_points_location.dayr_hafir","stop_points_location.eastern_kwaires.","stop_points_location.rasm_haram_el_imam","stop_points_location.tadaf","stop_points_location.as_safira","stop_points_location.banan","stop_points_location.hajeb","stop_points_location.khanaser","stop_points_location.aghtrin","stop_points_location.azaz","stop_points_location.mare","stop_points_location.nabul","stop_points_location.suran","stop_points_location.tall_refaat","stop_points_location.ghandorah","stop_points_location.jarablus","stop_points_location.atareb","stop_points_location.daret_azza","stop_points_location.hadher","stop_points_location.haritan","stop_points_location.jebel_saman","stop_points_location.tall_ed_daman","stop_points_location.zarbah","stop_points_location.abu_qalqal","stop_points_location.al_khafsa","stop_points_location.maskana","stop_points_location.menbij","stop_points_location.al_hasakeh","stop_points_location.areesheh","stop_points_location.ber_al_hulo_al_wardeyyeh","stop_points_location.hole","stop_points_location.markada","stop_points_location.shadadah","stop_points_location.tal_tamer","stop_points_location.al_malikeyyeh","stop_points_location.jawadiyah","stop_points_location.ya_robiyah","stop_points_location.amuda","stop_points_location.qahtaniyyeh","stop_points_location.quamishli","stop_points_location.tal_hmis","stop_points_location.darbasiyah","stop_points_location.ras_al_ain","stop_points_location.ar_raqqa","stop_points_location.karama","stop_points_location.maadan","stop_points_location.sabka","stop_points_location.al_thawrah","stop_points_location.jurneyyeh","stop_points_location.mansura","stop_points_location.ein_issa","stop_points_location.suluk","stop_points_location.tell_abiad","stop_points_location.abu_kamal","stop_points_location.hajin","stop_points_location.jalaa","stop_points_location.susat","stop_points_location.al_mayadin","stop_points_location.ashara","stop_points_location.thiban","stop_points_location.basira","stop_points_location.deir_ez_zor","stop_points_location.khasham","stop_points_location.kisreh","stop_points_location.muhasan","stop_points_location.sur","stop_points_location.tabni","difficulties.no_water","difficulties.no_food","difficulties.no_money","difficulties.risk_of_mines","difficulties.risk_of_airstrike","difficulties.dangerous_river_crossing.","difficulties.heat_strong_sun","difficulties.risk_of_direct_shooting","difficulties.risk_of_indirect_fire.","difficulties.travelling_children_elderly","difficulties.travelling_disabled_ill","difficulties.blocked_routes","difficulties.sleep_open","difficulties.dont_know","difficulties.none","item_bring.cash","item_bring.identification_papers","item_bring.water","item_bring.clothes","item_bring.iraqi_registration_papers","item_bring.cars","item_bring.jewelery_small_assets","item_bring.household_furniture","item_bring.food","item_bring.property_papers","item_bring.dont_know","item_bring.none","priority_need.clean_water","priority_need.sanitation_services","priority_need.electricity","priority_need.food","priority_need.shelter","priority_need.heathcare","priority_need.medicine","priority_need.nfis","priority_need.dont_know","difficulies_border_cross","difficulies_border_cross.pay_border","difficulies_border_cross.treated_disrespect","difficulies_border_cross.discrimination","difficulies_border_cross.long_waiting","difficulies_border_cross.unsafe","difficulies_border_cross.taken_id","difficulies_border_cross.dont_know","difficulies_border_cross.refuse_answer","difficulies_border_cross.other","difficulies_border_cross_other","syriaeight","registeredeight","leftpie7","leftpie47","leftpie13","leftpie1"
"numbers","0.90000000","0.10000000","0.31111111","0.68888889","1.00000000",NA,"0.95555556","0.04444444","1.00000000","0.67777778","0.25555556","0.03333333","0.03333333",0.11111111,0.08888889,0.1,0.21111111,0.48888889,2.48888889,2.63333333,2.21111111,2.41111111,0.08888889,0.12222222,9.95555556,"0.87777778","0.12222222",1.90909091,"0.90000000","0.10000000",1.11111111,"0.68888889","0.31111111",1.53571429,"0.30000000","0.70000000",NA,"0.10000000","0.90000000",NA,"0.03333333","0.06666667","0.04444444","0.02222222","0.46666667","0.36666667",NA,"0.02222222","0.06666667","0.02222222","0.02222222","0.06666667","0.11111111","0.01111111","0.04444444","0.35555556","0.25555556","0.02222222",NA,"0.66666667","0.33333333","0.21111111","0.23333333",0.28888889,"0.15555556",0.05555556,0.05555556,"0.03333333","0.03333333","0.83333333","0.04444444","0.05555556","0.16666667","0.05555556",0.32222222,"0.43333333",0.02222222,"0.08888889","0.03333333","0.10000000","0.34444444","0.22222222","0.21111111","0.01111111","0.01111111","0.07777778","0.13333333","0.02222222","0.74444444",NA,"0.64444444","0.35555556","0.06250000","0.03125000","0.06250000","0.03125000","0.34375000","0.06250000","0.06250000","0.31250000","0.03125000","0.03125000","0.03125000","0.21875000","0.03125000","0.03125000","0.03125000","0.06250000","0.03125000","0.03125000","0.09375000","0.03125000","0.21875000","0.03125000","0.03125000","0.03125000","0.06250000","0.01111111","0.42222222","0.50000000","0.01111111","0.04444444","0.01111111",NA,NA,NA,NA,NA,3.5,NA,NA,"0.82222222","0.01111111","0.03333333","0.13333333",NA,"0.26666667","0.66666667","0.06666667",NA,NA,NA,"0.16666667","0.65555556","0.17777778",NA,"1.00000000","0.09333333","0.28000000","0.60000000","0.02666667",NA,"0.16666667","0.73333333","0.10000000",NA,"0.06666667","0.13333333","0.70000000","0.03333333","0.03333333","0.03333333",NA,"0.98888889","0.01111111",NA,0,0.09375,0,0,0,0,0,0,0.09375,0.4375,0.4375,0,0.09375,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.03125,0,0.03125,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0.03125,0.3125,0.09375,0.09375,0,0.125,0.3125,0.03125,0,0,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67777778,0.67777778,0.12222222,0.01111111,0.27777778,NA,0.06666667,0.21111111,NA,0.34444444,0.05555556,0.12222222,0.16666667,0,0.04444444,0.91111111,0.98888889,0.22222222,0.67777778,0.01111111,0,0.11111111,0,0.11111111,0.11111111,0,0,0.44444444,0.11111111,0.23333333,0.67777778,0.9,0.41111111,0.18888889,0.31111111,0.02222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34444445,0.34444444,0.21111111,0.11111111,0.18888889,0.48888889
"min"," 0.847693759"," 0.047693759"," 0.230394187"," 0.608171965",NA,NA," 0.919624584"," 0.008513472",NA," 0.596297282"," 0.179506984"," 0.002035808"," 0.002035808",0.056316893,0.039270614,0.047693759,0.139957701,0.401733349,2.099676332,2.156588206,1.844005181,1.988888857,0.032875367,0.059477459,8.537448786," 0.820669425"," 0.065113870",1.227119388," 0.847693759"," 0.047693759",0.928349597," 0.608171965"," 0.230394187",1.162292442," 0.220100898"," 0.620100898",NA," 0.047693759"," 0.847693759",NA," 0.002035808"," 0.023175104"," 0.008513472","-0.003478544"," 0.379683541"," 0.282646383",NA,"-0.003478544"," 0.023175104","-0.003478544","-0.003478544"," 0.023175104"," 0.056316893","-0.007165040"," 0.008513472"," 0.272095488"," 0.179506984","-0.003478544",NA," 0.584475339"," 0.251142006"," 0.139957701"," 0.159589801",0.209863543," 0.092363780",0.015617749,0.015617749," 0.002035808"," 0.002035808"," 0.768355383"," 0.008513472"," 0.015617749"," 0.101688717"," 0.015617749",0.240741727," 0.346934648",-0.003478544," 0.039270614"," 0.002035808"," 0.047693759"," 0.261593665"," 0.149736284"," 0.139957701","-0.007165040","-0.007165040"," 0.031081979"," 0.074064324","-0.003478544"," 0.668395872",NA," 0.560984377"," 0.272095488","-0.009010869","-0.020151676","-0.009010869","-0.020151676"," 0.203435542","-0.009010869","-0.009010869"," 0.175567111","-0.020151676","-0.020151676","-0.020151676"," 0.096621941","-0.020151676","-0.020151676","-0.020151676","-0.009010869","-0.020151676","-0.020151676"," 0.007639511","-0.020151676"," 0.096621941","-0.020151676","-0.020151676","-0.020151676","-0.009010869","-0.007165040"," 0.336106348"," 0.412822932","-0.007165040"," 0.008513472","-0.007165040",NA,NA,NA,NA,NA,2.824104374,NA,NA," 0.755562178","-0.007165040"," 0.002035808"," 0.074064324",NA," 0.072265746"," 0.459434589","-0.042990242",NA,NA,NA," 0.101688717"," 0.572704776"," 0.111117734",NA,NA," 0.037710436"," 0.194146766"," 0.506326442","-0.004138713",NA," 0.052835284"," 0.598261953"," 0.008367505",NA,"-0.009523867"," 0.029503138"," 0.560029052","-0.021495121","-0.021495121","-0.021495121",NA," 0.970612737","-0.007165040",NA,0,0.007639511,0,0,0,0,0,0,0.007639511,0.290946329,0.290946329,0,0.007639511,0,0,0,0,0,NA,0,0,0,0,0,0,0,-0.020151676,0,-0.020151676,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020151676,0,0,0,0,0,-0.020151676,0.175567111,0.007639511,0.007639511,0,0.027297553,0.175567111,-0.020151676,0,0,0.007639511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596297282,0.596297282,0.06511387,-0.00716504,0.199684001,NA,0.023175104,0.139957701,NA,0.261593665,0.015617749,0.06511387,0.101688717,0,0.008513472,0.861492836,0.970612737,0.149736284,0.596297282,-0.00716504,0,0.056316893,0,0.056316893,0.056316893,0,0,0.357807178,0.056316893,0.159589801,0.596297282,0.847693759,0.325322716,0.120643135,0.230394187,-0.003478544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225481292,0.237263183,0.139957701,0.056316893,0.086964373,0.401733349
"max"," 0.95230624"," 0.15230624"," 0.39182804"," 0.76960581",NA,NA," 0.99148653"," 0.08037542",NA," 0.75925827"," 0.33160413"," 0.06463086"," 0.06463086",0.16590533,0.13850716,0.15230624,0.28226452,0.57604443,2.87810145,3.11007846,2.57821704,2.83333337,0.14490241,0.18496699,11.37366232," 0.93488613"," 0.17933057",2.59106243," 0.95230624"," 0.15230624",1.29387263," 0.76960581"," 0.39182804",1.90913613," 0.37989910"," 0.77989910",NA," 0.15230624"," 0.95230624",NA," 0.06463086"," 0.11015823"," 0.08037542"," 0.04792299"," 0.55364979"," 0.45068695",NA," 0.04792299"," 0.11015823"," 0.04792299"," 0.04792299"," 0.11015823"," 0.16590533"," 0.02938726"," 0.08037542"," 0.43901562"," 0.33160413"," 0.04792299",NA," 0.74885799"," 0.41552466"," 0.28226452"," 0.30707687",0.36791423," 0.21874733",0.09549336,0.09549336," 0.06463086"," 0.06463086"," 0.89831128"," 0.08037542"," 0.09549336"," 0.23164462"," 0.09549336",0.40370272," 0.51973202",0.04792299," 0.13850716"," 0.06463086"," 0.15230624"," 0.42729522"," 0.29470816"," 0.28226452"," 0.02938726"," 0.02938726"," 0.12447358"," 0.19260234"," 0.04792299"," 0.82049302",NA," 0.72790451"," 0.43901562"," 0.13401087"," 0.08265168"," 0.13401087"," 0.08265168"," 0.48406446"," 0.13401087"," 0.13401087"," 0.44943289"," 0.08265168"," 0.08265168"," 0.08265168"," 0.34087806"," 0.08265168"," 0.08265168"," 0.08265168"," 0.13401087"," 0.08265168"," 0.08265168"," 0.17986049"," 0.08265168"," 0.34087806"," 0.08265168"," 0.08265168"," 0.08265168"," 0.13401087"," 0.02938726"," 0.50833810"," 0.58717707"," 0.02938726"," 0.08037542"," 0.02938726",NA,NA,NA,NA,NA,4.17589563,NA,NA," 0.88888227"," 0.02938726"," 0.06463086"," 0.19260234",NA," 0.46106759"," 0.87389874"," 0.17632358",NA,NA,NA," 0.23164462"," 0.73840633"," 0.24443782",NA,NA," 0.14895623"," 0.36585323"," 0.69367356"," 0.05747205",NA," 0.28049805"," 0.86840471"," 0.19163250",NA," 0.14285720"," 0.23716353"," 0.83997095"," 0.08816179"," 0.08816179"," 0.08816179",NA," 1.00716504"," 0.02938726",NA,0,0.17986049,0,0,0,0,0,0,0.17986049,0.58405367,0.58405367,0,0.17986049,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.08265168,0,0.08265168,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08265168,0,0,0,0,0,0.08265168,0.44943289,0.17986049,0.17986049,0,0.22270245,0.44943289,0.08265168,0,0,0.17986049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75925827,0.75925827,0.17933057,0.02938726,0.35587155,NA,0.11015823,0.28226452,NA,0.42729522,0.09549336,0.17933057,0.23164462,0,0.08037542,0.96072939,1.00716504,0.29470816,0.75925827,0.02938726,0,0.16590533,0,0.16590533,0.16590533,0,0,0.53108171,0.16590533,0.30707687,0.75925827,0.95230624,0.49689951,0.25713464,0.39182804,0.04792299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46340759,0.45162571,0.28226452,0.16590533,0.2908134,0.57604443
